feature_key,layer,index,source,prompt,activation_max,activation_sum,activation_mean,sparsity_ratio,peak_token,peak_token_idx,node_influence,csv_ctx_idx,peak_token_type,target_tokens,tokens_source
1_72774,1,72774,1-clt-hp,relation : La relation entre « petit » et « grand » en tant qu’antonymes est des termes opposés,78.86715698242188,1160.76589012146,50.46808217919392,0.3600874672020651, est,19,0.0080268085002899,11.0,functional,"[{""token"": "" termes"", ""index"": 21, ""distance"": 2, ""direction"": ""forward""}]",json
1_72774,1,72774,1-clt-hp,attribut : Un terme décrivant quelque chose de taille limitée est petit,85.08378601074219,795.091028213501,53.006068547566734,0.3770132826379577,ribut,2,0.0080268085002899,11.0,semantic,"[{""token"": ""ribut"", ""index"": 2, ""distance"": 0, ""direction"": ""self""}]",n/a
1_72774,1,72774,1-clt-hp,attribut : Un terme décrivant quelque chose de taille considérable est grand,85.08378601074219,811.1765804290771,54.07843869527181,0.3644095869400525,ribut,2,0.0080268085002899,11.0,semantic,"[{""token"": ""ribut"", ""index"": 2, ""distance"": 0, ""direction"": ""self""}]",n/a
1_72774,1,72774,1-clt-hp,processus : Le processus linguistique consistant à identifier des mots aux sens opposés est antonyme,73.67724609375,1062.5811653137207,55.92532449019583,0.2409417092078317, est,17,0.0080268085002899,11.0,functional,"[{""token"": ""onyme"", ""index"": 19, ""distance"": 2, ""direction"": ""forward""}]",json
1_72774,1,72774,1-clt-hp,concept : Le concept de comparaison d’objets en fonction de leurs dimensions est la comparaison de taille,82.00216674804688,1108.6113357543943,58.347965039704974,0.2884582523413053, fonction,11,0.0080268085002899,11.0,semantic,"[{""token"": "" fonction"", ""index"": 11, ""distance"": 0, ""direction"": ""self""}]",n/a
1_72774,1,72774,1-clt-hp,concept: the language spoken in France is french,79.01982116699219,476.7027339935303,52.96697044372559,0.3297001984882912, spoken,5,0.0080268085002899,11.0,semantic,"[{""token"": "" spoken"", ""index"": 5, ""distance"": 0, ""direction"": ""self""}]",n/a
1_72774,1,72774,1-clt-hp,relationship: The relationship between 'small' and 'large' as antonyms is opposite terms,93.7030792236328,1275.29927444458,70.84995969136556,0.2438886717663327,onyms,15,0.0080268085002899,11.0,semantic,"[{""token"": ""onyms"", ""index"": 15, ""distance"": 0, ""direction"": ""self""}]",n/a
1_72774,1,72774,1-clt-hp,attribute: A term describing something of limited size is small,107.61253356933594,856.2676277160645,77.84251161055131,0.2766408425799535, size,9,0.0080268085002899,11.0,semantic,"[{""token"": "" size"", ""index"": 9, ""distance"": 0, ""direction"": ""self""}]",n/a
1_72774,1,72774,1-clt-hp,attribute: A term describing something of considerable size is large,103.82286071777344,865.4077796936035,78.67343451760031,0.2422339938073753, size,9,0.0080268085002899,11.0,semantic,"[{""token"": "" size"", ""index"": 9, ""distance"": 0, ""direction"": ""self""}]",n/a
1_72774,1,72774,1-clt-hp,process: The linguistic process of identifying words with opposite meanings is antonym,97.35592651367188,895.4927673339844,63.9637690952846,0.3429904949206965, process,5,0.0080268085002899,11.0,semantic,"[{""token"": "" process"", ""index"": 5, ""distance"": 0, ""direction"": ""self""}]",n/a
