feature_key,layer,index,source,prompt,activation_max,activation_sum,activation_mean,sparsity_ratio,peak_token,peak_token_idx,node_influence,csv_ctx_idx,peak_token_type,target_tokens,tokens_source,pred_label,subtype,confidence,review,why_review,supernode_name,top_activations_probe_original
19_24018,19,24018,19-clt-hp,"entity: A city in California, USA is Oakland",10.702951431274414,17.657882690429688,1.7657882690429687,0.8350185665719018, Oakland,10,0.0113708674907684,8,semantic,"[{""token"": "" Oakland"", ""index"": 10, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Concept,0.7,False,,California,"[{""tk"": ""is"", ""act"": 27.14249610900879}, {""tk"": ""California"", ""act"": 18.449951171875}, {""tk"": ""Oakland"", ""act"": 10.702951431274414}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
19_24018,19,24018,19-clt-hp,entity: The capital city of California is Sacramento,27.14249610900879,53.112149238586426,5.901349915398492,0.7825789532511054, is,8,0.0113708674907684,8,functional,"[{""token"": "" Sacramento"", ""index"": 9, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Concept,0.7,False,,California,"[{""tk"": ""is"", ""act"": 27.14249610900879}, {""tk"": ""California"", ""act"": 18.449951171875}, {""tk"": ""Oakland"", ""act"": 10.702951431274414}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
19_24018,19,24018,19-clt-hp,entity: A state in the United States is California,18.449951171875,18.449951171875,1.8449951171875,0.8999999999999999, California,10,0.0113708674907684,8,semantic,"[{""token"": "" California"", ""index"": 10, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Concept,0.7,False,,California,"[{""tk"": ""is"", ""act"": 27.14249610900879}, {""tk"": ""California"", ""act"": 18.449951171875}, {""tk"": ""Oakland"", ""act"": 10.702951431274414}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
19_24018,19,24018,19-clt-hp,attribute: The primary city serving as the seat of government for a state is the capital city,0.0,0.0,0.0,0.0,attribute,1,0.0113708674907684,8,semantic,"[{""token"": ""attribute"", ""index"": 1, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Concept,0.7,False,,California,"[{""tk"": ""is"", ""act"": 27.14249610900879}, {""tk"": ""California"", ""act"": 18.449951171875}, {""tk"": ""Oakland"", ""act"": 10.702951431274414}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
19_24018,19,24018,19-clt-hp,relationship: the state in which a city is located is the state containing,0.0,0.0,0.0,0.0,relationship,1,0.0113708674907684,8,semantic,"[{""token"": ""relationship"", ""index"": 1, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Concept,0.7,False,,California,"[{""tk"": ""is"", ""act"": 27.14249610900879}, {""tk"": ""California"", ""act"": 18.449951171875}, {""tk"": ""Oakland"", ""act"": 10.702951431274414}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
1_72774,1,72774,1-clt-hp,"entity: A city in California, USA is Oakland",80.95504760742188,635.2220573425293,63.52220573425293,0.2153397766833099, USA,8,0.0108889639377594,8,semantic,"[{""token"": "" USA"", ""index"": 8, ""distance"": 0, ""direction"": ""self""}]",n/a,Relationship,,1.0,False,,(capital) related,"[{""tk"": ""capital"", ""act"": 101.8143310546875}, {""tk"": ""city"", ""act"": 98.45236206054688}, {""tk"": ""containing"", ""act"": 97.75382995605469}, {""tk"": ""seat"", ""act"": 92.93193054199219}, {""tk"": ""state"", ""act"": 91.94575500488281}, {""tk"": ""is"", ""act"": 90.29743957519531}, {""tk"": ""California"", ""act"": 82.80490112304688}, {""tk"": ""of"", ""act"": 78.57002258300781}, {""tk"": ""Oakland"", ""act"": 71.67543029785156}, {""tk"": ""United"", ""act"": 71.57008361816406}]"
1_72774,1,72774,1-clt-hp,entity: The capital city of California is Sacramento,84.13487243652344,616.1815986633301,68.46462207370334,0.186251549553875, city,5,0.0108889639377594,8,semantic,"[{""token"": "" city"", ""index"": 5, ""distance"": 0, ""direction"": ""self""}]",n/a,Relationship,,1.0,False,,(capital) related,"[{""tk"": ""capital"", ""act"": 101.8143310546875}, {""tk"": ""city"", ""act"": 98.45236206054688}, {""tk"": ""containing"", ""act"": 97.75382995605469}, {""tk"": ""seat"", ""act"": 92.93193054199219}, {""tk"": ""state"", ""act"": 91.94575500488281}, {""tk"": ""is"", ""act"": 90.29743957519531}, {""tk"": ""California"", ""act"": 82.80490112304688}, {""tk"": ""of"", ""act"": 78.57002258300781}, {""tk"": ""Oakland"", ""act"": 71.67543029785156}, {""tk"": ""United"", ""act"": 71.57008361816406}]"
1_72774,1,72774,1-clt-hp,entity: A state in the United States is California,91.9457550048828,694.1671600341797,69.41671600341797,0.2450253304273636, state,4,0.0108889639377594,8,semantic,"[{""token"": "" state"", ""index"": 4, ""distance"": 0, ""direction"": ""self""}]",n/a,Relationship,,1.0,False,,(capital) related,"[{""tk"": ""capital"", ""act"": 101.8143310546875}, {""tk"": ""city"", ""act"": 98.45236206054688}, {""tk"": ""containing"", ""act"": 97.75382995605469}, {""tk"": ""seat"", ""act"": 92.93193054199219}, {""tk"": ""state"", ""act"": 91.94575500488281}, {""tk"": ""is"", ""act"": 90.29743957519531}, {""tk"": ""California"", ""act"": 82.80490112304688}, {""tk"": ""of"", ""act"": 78.57002258300781}, {""tk"": ""Oakland"", ""act"": 71.67543029785156}, {""tk"": ""United"", ""act"": 71.57008361816406}]"
1_72774,1,72774,1-clt-hp,attribute: The primary city serving as the seat of government for a state is the capital city,122.51927185058594,1543.6992301940918,85.76106834411621,0.3000197679210573, primary,4,0.0108889639377594,8,semantic,"[{""token"": "" primary"", ""index"": 4, ""distance"": 0, ""direction"": ""self""}]",n/a,Relationship,,1.0,False,,(capital) related,"[{""tk"": ""capital"", ""act"": 101.8143310546875}, {""tk"": ""city"", ""act"": 98.45236206054688}, {""tk"": ""containing"", ""act"": 97.75382995605469}, {""tk"": ""seat"", ""act"": 92.93193054199219}, {""tk"": ""state"", ""act"": 91.94575500488281}, {""tk"": ""is"", ""act"": 90.29743957519531}, {""tk"": ""California"", ""act"": 82.80490112304688}, {""tk"": ""of"", ""act"": 78.57002258300781}, {""tk"": ""Oakland"", ""act"": 71.67543029785156}, {""tk"": ""United"", ""act"": 71.57008361816406}]"
1_72774,1,72774,1-clt-hp,relationship: the state in which a city is located is the state containing,97.75382995605467,931.018913269043,66.50135094778878,0.3197059288860138, containing,14,0.0108889639377594,8,semantic,"[{""token"": "" containing"", ""index"": 14, ""distance"": 0, ""direction"": ""self""}]",n/a,Relationship,,1.0,False,,(capital) related,"[{""tk"": ""capital"", ""act"": 101.8143310546875}, {""tk"": ""city"", ""act"": 98.45236206054688}, {""tk"": ""containing"", ""act"": 97.75382995605469}, {""tk"": ""seat"", ""act"": 92.93193054199219}, {""tk"": ""state"", ""act"": 91.94575500488281}, {""tk"": ""is"", ""act"": 90.29743957519531}, {""tk"": ""California"", ""act"": 82.80490112304688}, {""tk"": ""of"", ""act"": 78.57002258300781}, {""tk"": ""Oakland"", ""act"": 71.67543029785156}, {""tk"": ""United"", ""act"": 71.57008361816406}]"
