condition,from_slug,to_slug,variant,run_id,ablate_count,amplify_count,to_answer,from_answer,default_text,canonical_hit,canonical_hit_fuzzy,canonical_from_suppressed,canonical_first_token_match,canonical_new_tokens,canonical_has_artifact,canonical_has_austin,canonical_has_texas,tuned_present,tuned_hit,tuned_hit_fuzzy,tuned_from_suppressed,tuned_new_tokens,tuned_has_artifact,tuned_has_austin,tuned_has_texas,m_tuned,m_phase,m_total_steps,any_hit,any_hit_fuzzy,hit_completion,hit_has_artifact,artifact_when_hit
auto_dallas,california_oakland,texas_dallas,add_capital,20260504_033649_smoke_swap_auto_target_dallas_mab-2_mam20_seed42_cfg-d50667ec09,104,85,Austin,Sacramento,"<bos><bos>Fact: The capital of the state containing Oakland is Sacramento.

Fact: The state of California is",0,0,1,0,"<bos><bos>Fact: The capital of the state containing Oakland is College Park.

Answer: Maryland.

The city",0,0,0,0,0,0,,,0,0,0,,,,0,0,,0,
auto_dallas,california_oakland,texas_dallas,add_capital_city,20260504_033649_smoke_swap_auto_target_dallas_mab-2_mam20_seed42_cfg-d50667ec09,174,156,Austin,Sacramento,"<bos><bos>Fact: The capital of the state containing Oakland is Sacramento.

Fact: The state of California is",0,0,1,0,"<bos><bos>Fact: The capital of the state containing Oakland is Efq;

The capital of the state containing Oakland,",0,0,0,0,0,0,,,0,0,0,,,,0,0,,0,
auto_dallas,california_oakland,texas_dallas,add_city,20260504_033649_smoke_swap_auto_target_dallas_mab-2_mam20_seed42_cfg-d50667ec09,70,71,Austin,Sacramento,"<bos><bos>Fact: The capital of the state containing Oakland is Sacramento.

Fact: The state of California is",0,0,0,0,"<bos><bos>Fact: The capital of the state containing Oakland is area is Sacramento.

Fact: The state capital of",0,0,0,0,0,0,,,0,0,0,,,,0,0,,0,
auto_dallas,california_oakland,texas_dallas,add_state,20260504_033649_smoke_swap_auto_target_dallas_mab-2_mam20_seed42_cfg-d50667ec09,50,55,Austin,Sacramento,"<bos><bos>Fact: The capital of the state containing Oakland is Sacramento.

Fact: The state of California is",0,0,1,0,"<bos><bos>Fact: The capital of the state containing Oakland isCloseOperation.

Fact: The state of California is the",0,0,0,1,1,1,1.0,"<bos><bos>Fact: The capital of the state containing Oakland is not Dallas.

Fact: The city of Austin,",0,1,0,2.402249,1.0,4.0,1,1,"<bos><bos>Fact: The capital of the state containing Oakland is not Dallas.

Fact: The city of Austin,",0,0.0
auto_dallas,california_oakland,texas_dallas,add_state_capital,20260504_033649_smoke_swap_auto_target_dallas_mab-2_mam20_seed42_cfg-d50667ec09,154,140,Austin,Sacramento,"<bos><bos>Fact: The capital of the state containing Oakland is Sacramento.

Fact: The state of California is",0,0,1,0,"<bos><bos>Fact: The capital of the state containing Oakland is College Station.

Fact: The city where the",0,0,0,0,0,0,,,0,0,0,,,,0,0,,0,
auto_dallas,california_oakland,texas_dallas,add_state_capital_city,20260504_033649_smoke_swap_auto_target_dallas_mab-2_mam20_seed42_cfg-d50667ec09,224,211,Austin,Sacramento,"<bos><bos>Fact: The capital of the state containing Oakland is Sacramento.

Fact: The state of California is",0,0,1,0,"<bos><bos>Fact: The capital of the state containing Oakland is Efq;
The capital of the state containing Oakland,",0,0,0,1,1,1,1.0,"<bos><bos>Fact: The capital of the state containing Oakland is not Dallas.

Fact: The city of Austin,",0,1,0,1.414213,2.0,7.0,1,1,"<bos><bos>Fact: The capital of the state containing Oakland is not Dallas.

Fact: The city of Austin,",0,0.0
auto_dallas,california_oakland,texas_dallas,add_state_city,20260504_033649_smoke_swap_auto_target_dallas_mab-2_mam20_seed42_cfg-d50667ec09,120,126,Austin,Sacramento,"<bos><bos>Fact: The capital of the state containing Oakland is Sacramento.

Fact: The state of California is",0,0,1,0,"<bos><bos>Fact: The capital of the state containing Oakland isⓧ, Texas, is San Antonio.

The city",1,0,1,1,1,1,1.0,"<bos><bos>Fact: The capital of the state containing Oakland is, San Antonio, and Austin is Austin.

Fact",0,1,0,2.402249,1.0,4.0,1,1,"<bos><bos>Fact: The capital of the state containing Oakland is, San Antonio, and Austin is Austin.

Fact",0,0.0
auto_dallas,florida_miami,texas_dallas,add_capital,20260504_033649_smoke_swap_auto_target_dallas_mab-2_mam20_seed42_cfg-d50667ec09,106,85,Austin,Tallahassee,"<bos><bos>Fact: The capital of the state containing Miami is Tallahassee.

Fact: The state of Florida is",0,0,0,0,"<bos><bos>Fact: The capital of the state containing Miami is College Park is Tallahassee.

Fact: The capital of",0,0,0,0,0,0,,,0,0,0,,,,0,0,,0,
auto_dallas,florida_miami,texas_dallas,add_capital_city,20260504_033649_smoke_swap_auto_target_dallas_mab-2_mam20_seed42_cfg-d50667ec09,175,156,Austin,Tallahassee,"<bos><bos>Fact: The capital of the state containing Miami is Tallahassee.

Fact: The state of Florida is",0,0,1,0,"<bos><bos>Fact: The capital of the state containing Miami is Efq;
The capital of the state containing Miami,",0,0,0,0,0,0,,,0,0,0,,,,0,0,,0,
auto_dallas,florida_miami,texas_dallas,add_city,20260504_033649_smoke_swap_auto_target_dallas_mab-2_mam20_seed42_cfg-d50667ec09,69,71,Austin,Tallahassee,"<bos><bos>Fact: The capital of the state containing Miami is Tallahassee.

Fact: The state of Florida is",0,0,1,0,"<bos><bos>Fact: The capital of the state containing Miami is area code 305 is Miami.

The",0,0,0,0,0,0,,,0,0,0,,,,0,0,,0,
auto_dallas,florida_miami,texas_dallas,add_state,20260504_033649_smoke_swap_auto_target_dallas_mab-2_mam20_seed42_cfg-d50667ec09,59,55,Austin,Tallahassee,"<bos><bos>Fact: The capital of the state containing Miami is Tallahassee.

Fact: The state of Florida is",0,0,1,0,"<bos><bos>Fact: The capital of the state containing Miami isCloseOperation.

The answer to this question is not Miami",0,0,0,1,1,1,1.0,"<bos><bos>Fact: The capital of the state containing Miami is not Dallas.

Fact: The city of Austin,",0,1,0,2.402249,1.0,4.0,1,1,"<bos><bos>Fact: The capital of the state containing Miami is not Dallas.

Fact: The city of Austin,",0,0.0
auto_dallas,florida_miami,texas_dallas,add_state_capital,20260504_033649_smoke_swap_auto_target_dallas_mab-2_mam20_seed42_cfg-d50667ec09,165,140,Austin,Tallahassee,"<bos><bos>Fact: The capital of the state containing Miami is Tallahassee.

Fact: The state of Florida is",0,0,1,0,"<bos><bos>Fact: The capital of the state containing Miami is College Station is College Station.

Fact: The city",0,0,0,0,0,0,,,0,0,0,,,,0,0,,0,
auto_dallas,florida_miami,texas_dallas,add_state_capital_city,20260504_033649_smoke_swap_auto_target_dallas_mab-2_mam20_seed42_cfg-d50667ec09,234,211,Austin,Tallahassee,"<bos><bos>Fact: The capital of the state containing Miami is Tallahassee.

Fact: The state of Florida is",0,0,1,0,"<bos><bos>Fact: The capital of the state containing Miami is Efq;
The capital of the state containing Miami,",0,0,0,0,0,0,,,0,0,0,,,,0,0,,0,
auto_dallas,florida_miami,texas_dallas,add_state_city,20260504_033649_smoke_swap_auto_target_dallas_mab-2_mam20_seed42_cfg-d50667ec09,128,126,Austin,Tallahassee,"<bos><bos>Fact: The capital of the state containing Miami is Tallahassee.

Fact: The state of Florida is",1,1,1,0,"<bos><bos>Fact: The capital of the state containing Miami isⓧ, Texas, is Austin.

The capital of",1,1,1,0,0,0,,,0,0,0,,,,1,1,"<bos><bos>Fact: The capital of the state containing Miami isⓧ, Texas, is Austin.

The capital of",1,1.0
auto_dallas,illinois_chicago,texas_dallas,add_capital,20260504_033649_smoke_swap_auto_target_dallas_mab-2_mam20_seed42_cfg-d50667ec09,94,85,Austin,Springfield,"<bos><bos>Fact: The capital of the state containing Chicago is Springfield.

Fact: The state of Illinois is",0,0,1,0,"<bos><bos>Fact: The capital of the state containing Chicago is College Station.

Fact: The city where the",0,0,0,0,0,0,,,0,0,0,,,,0,0,,0,
auto_dallas,illinois_chicago,texas_dallas,add_capital_city,20260504_033649_smoke_swap_auto_target_dallas_mab-2_mam20_seed42_cfg-d50667ec09,176,156,Austin,Springfield,"<bos><bos>Fact: The capital of the state containing Chicago is Springfield.

Fact: The state of Illinois is",0,0,1,0,"<bos><bos>Fact: The capital of the state containing Chicago is Efq;

The capital of the state containing Chicago,",0,0,0,0,0,0,,,0,0,0,,,,0,0,,0,
auto_dallas,illinois_chicago,texas_dallas,add_city,20260504_033649_smoke_swap_auto_target_dallas_mab-2_mam20_seed42_cfg-d50667ec09,82,71,Austin,Springfield,"<bos><bos>Fact: The capital of the state containing Chicago is Springfield.

Fact: The state of Illinois is",0,0,1,0,"<bos><bos>Fact: The capital of the state containing Chicago isarea code 312.

The correct answer",0,0,0,0,0,0,,,0,0,0,,,,0,0,,0,
auto_dallas,illinois_chicago,texas_dallas,add_state,20260504_033649_smoke_swap_auto_target_dallas_mab-2_mam20_seed42_cfg-d50667ec09,72,55,Austin,Springfield,"<bos><bos>Fact: The capital of the state containing Chicago is Springfield.

Fact: The state of Illinois is",0,0,1,0,"<bos><bos>Fact: The capital of the state containing Chicago isCloseOperation.

The answer to this question is Chicago,",0,0,0,1,1,1,1.0,"<bos><bos>Fact: The capital of the state containing Chicago is not Dallas.

Fact: The city of Austin,",0,1,0,2.402249,1.0,4.0,1,1,"<bos><bos>Fact: The capital of the state containing Chicago is not Dallas.

Fact: The city of Austin,",0,0.0
auto_dallas,illinois_chicago,texas_dallas,add_state_capital,20260504_033649_smoke_swap_auto_target_dallas_mab-2_mam20_seed42_cfg-d50667ec09,166,140,Austin,Springfield,"<bos><bos>Fact: The capital of the state containing Chicago is Springfield.

Fact: The state of Illinois is",0,0,1,0,"<bos><bos>Fact: The capital of the state containing Chicago is College Station is College Station.

Fact: The city",0,0,0,0,0,0,,,0,0,0,,,,0,0,,0,
auto_dallas,illinois_chicago,texas_dallas,add_state_capital_city,20260504_033649_smoke_swap_auto_target_dallas_mab-2_mam20_seed42_cfg-d50667ec09,248,211,Austin,Springfield,"<bos><bos>Fact: The capital of the state containing Chicago is Springfield.

Fact: The state of Illinois is",0,0,1,0,"<bos><bos>Fact: The capital of the state containing Chicago is Efq;
The capital of the state containing Chicago,",0,0,0,1,1,1,1.0,"<bos><bos>Fact: The capital of the state containing Chicago is, Dallas, Houston and San Antonio is Austin.",0,1,0,2.402249,1.0,4.0,1,1,"<bos><bos>Fact: The capital of the state containing Chicago is, Dallas, Houston and San Antonio is Austin.",0,0.0
auto_dallas,illinois_chicago,texas_dallas,add_state_city,20260504_033649_smoke_swap_auto_target_dallas_mab-2_mam20_seed42_cfg-d50667ec09,154,126,Austin,Springfield,"<bos><bos>Fact: The capital of the state containing Chicago is Springfield.

Fact: The state of Illinois is",1,1,1,0,"<bos><bos>Fact: The capital of the state containing Chicago isⓧ, Texas, is Austin.

The capital of",1,1,1,0,0,0,,,0,0,0,,,,1,1,"<bos><bos>Fact: The capital of the state containing Chicago isⓧ, Texas, is Austin.

The capital of",1,1.0
auto_dallas,new_york_new_york_city,texas_dallas,add_capital,20260504_033649_smoke_swap_auto_target_dallas_mab-2_mam20_seed42_cfg-d50667ec09,63,85,Austin,Albany,"<bos><bos>Fact: The capital of the state containing New York City is Albany.

Fact: The state of New York",0,0,1,0,"<bos><bos>Fact: The capital of the state containing New York City is College Station, Texas.

Fact: The capital of",0,0,1,0,0,0,,,0,0,0,,,,0,0,,0,
auto_dallas,new_york_new_york_city,texas_dallas,add_capital_city,20260504_033649_smoke_swap_auto_target_dallas_mab-2_mam20_seed42_cfg-d50667ec09,178,156,Austin,Albany,"<bos><bos>Fact: The capital of the state containing New York City is Albany.

Fact: The state of New York",0,0,1,0,"<bos><bos>Fact: The capital of the state containing New York City is College Park, Maryland.

The city is located in",0,0,0,0,0,0,,,0,0,0,,,,0,0,,0,
auto_dallas,new_york_new_york_city,texas_dallas,add_city,20260504_033649_smoke_swap_auto_target_dallas_mab-2_mam20_seed42_cfg-d50667ec09,115,71,Austin,Albany,"<bos><bos>Fact: The capital of the state containing New York City is Albany.

Fact: The state of New York",0,0,1,0,"<bos><bos>Fact: The capital of the state containing New York City isarea code 518.

The correct answer",0,0,0,0,0,0,,,0,0,0,,,,0,0,,0,
auto_dallas,new_york_new_york_city,texas_dallas,add_state,20260504_033649_smoke_swap_auto_target_dallas_mab-2_mam20_seed42_cfg-d50667ec09,115,55,Austin,Albany,"<bos><bos>Fact: The capital of the state containing New York City is Albany.

Fact: The state of New York",0,0,0,0,"<bos><bos>Fact: The capital of the state containing New York City isBeginContext, New York City, is Albany.

Fact",0,0,0,0,0,0,,,0,0,0,,,,0,0,,0,
auto_dallas,new_york_new_york_city,texas_dallas,add_state_capital,20260504_033649_smoke_swap_auto_target_dallas_mab-2_mam20_seed42_cfg-d50667ec09,178,140,Austin,Albany,"<bos><bos>Fact: The capital of the state containing New York City is Albany.

Fact: The state of New York",0,0,1,0,"<bos><bos>Fact: The capital of the state containing New York City is College Station, Texas.

Fact: The capital of",0,0,1,0,0,0,,,0,0,0,,,,0,0,,0,
auto_dallas,new_york_new_york_city,texas_dallas,add_state_capital_city,20260504_033649_smoke_swap_auto_target_dallas_mab-2_mam20_seed42_cfg-d50667ec09,178,211,Austin,Albany,"<bos><bos>Fact: The capital of the state containing New York City is Albany.

Fact: The state of New York",0,0,1,0,"<bos><bos>Fact: The capital of the state containing New York City is Efq;
The capital of the state containing New York",0,0,0,1,1,1,1.0,"<bos><bos>Fact: The capital of the state containing New York City is, Dallas, and Austin is <strong>Austin</strong>.",0,1,0,2.402249,1.0,4.0,1,1,"<bos><bos>Fact: The capital of the state containing New York City is, Dallas, and Austin is <strong>Austin</strong>.",0,0.0
