feature_key,layer,index,source,prompt,activation_max,activation_sum,activation_mean,sparsity_ratio,peak_token,peak_token_idx,node_influence,csv_ctx_idx
20_79562,20,79562,20-clt-hp,entity: The muscle involved in deep inhalation is Diaphragm,67.29100036621094,174.6195969581604,14.5516330798467,0.7837506798731801, is,9,0.0083156824111938,11
20_79562,20,79562,20-clt-hp,process: The act of breathing in air. is Inhalation,0.0,0.0,0.0,0.0,process,1,0.0083156824111938,11
20_79562,20,79562,20-clt-hp,process: The action of muscles tightening to facilitate breathing is Muscle contraction,34.05815124511719,81.10183763504028,6.2386028950030985,0.816824969444062, tightening,7,0.0083156824111938,11
20_79562,20,79562,20-clt-hp,entity: The system responsible for gas exchange in the body. is Respiratory system,0.0,0.0,0.0,0.0,entity,1,0.0083156824111938,11
20_79562,20,79562,20-clt-hp,attribute: A type of breathing that involves full expansion of the lungs is Deep breathing,14.949569702148438,27.13676643371582,1.6960479021072388,0.8865487143845019, the,12,0.0083156824111938,11
1_72774,1,72774,1-clt-hp,entity: The muscle involved in deep inhalation is Diaphragm,118.65193176269531,923.9856147766113,76.99880123138428,0.3510531174040856, deep,7,0.0080268085002899,11
1_72774,1,72774,1-clt-hp,process: The act of breathing in air. is Inhalation,84.25283813476562,659.7492923736572,59.9772083976052,0.28812833222698836, breathing,6,0.0080268085002899,11
1_72774,1,72774,1-clt-hp,process: The action of muscles tightening to facilitate breathing is Muscle contraction,101.29920959472656,937.6681480407715,72.12831908005934,0.28796760242624636, contraction,13,0.0080268085002899,11
1_72774,1,72774,1-clt-hp,entity: The system responsible for gas exchange in the body. is Respiratory system,105.53080749511719,1109.0330619812012,73.93553746541342,0.29939380527497295, system,15,0.0080268085002899,11
1_72774,1,72774,1-clt-hp,attribute: A type of breathing that involves full expansion of the lungs is Deep breathing,122.33049011230469,1396.009027481079,87.25056421756744,0.28676355226348194, breathing,16,0.0080268085002899,11
1_57794,1,57794,1-clt-hp,entity: The muscle involved in deep inhalation is Diaphragm,113.94397735595703,974.3312644958496,81.1942720413208,0.2874193623444203,entity,1,0.0077750980854034,11
1_57794,1,57794,1-clt-hp,process: The act of breathing in air. is Inhalation,127.15555572509766,927.4462242126465,84.3132931102406,0.3369279648895511,process,1,0.0077750980854034,11
1_57794,1,57794,1-clt-hp,process: The action of muscles tightening to facilitate breathing is Muscle contraction,127.15555572509766,1082.761863708496,83.28937413142278,0.34498045597402616,process,1,0.0077750980854034,11
1_57794,1,57794,1-clt-hp,entity: The system responsible for gas exchange in the body. is Respiratory system,113.94397735595703,1104.9572792053223,73.66381861368815,0.3535084493007916,entity,1,0.0077750980854034,11
1_57794,1,57794,1-clt-hp,attribute: A type of breathing that involves full expansion of the lungs is Deep breathing,125.44586944580078,1110.5552406311035,69.40970253944397,0.4466959905010454,attribute,1,0.0077750980854034,11
1_12928,1,12928,1-clt-hp,entity: The muscle involved in deep inhalation is Diaphragm,105.41461181640625,871.908504486084,72.659042040507,0.31073082954521986,entity,1,0.0077393054962158,11
1_12928,1,12928,1-clt-hp,process: The act of breathing in air. is Inhalation,106.49705505371094,871.9995651245117,79.27268773859197,0.25563493095080025,process,1,0.0077393054962158,11
1_12928,1,12928,1-clt-hp,process: The action of muscles tightening to facilitate breathing is Muscle contraction,106.49705505371094,904.1491622924805,69.54993556096004,0.3469309031514244,process,1,0.0077393054962158,11
1_12928,1,12928,1-clt-hp,entity: The system responsible for gas exchange in the body. is Respiratory system,105.41459655761719,961.1284790039062,64.07523193359376,0.392159776482456,entity,1,0.0077393054962158,11
1_12928,1,12928,1-clt-hp,attribute: A type of breathing that involves full expansion of the lungs is Deep breathing,117.0260238647461,1061.0140686035156,66.31337928771973,0.4333450193577283,attribute,1,0.0077393054962158,11
19_69358,19,69358,19-clt-hp,entity: The muscle involved in deep inhalation is Diaphragm,40.63563537597656,184.22967767715454,15.352473139762878,0.6221918767181593, Dia,10,0.0071765482425689,11
19_69358,19,69358,19-clt-hp,process: The act of breathing in air. is Inhalation,10.596090316772461,12.743134498596191,1.1584667725996538,0.8906703568989095, Inhalation,11,0.0071765482425689,11
19_69358,19,69358,19-clt-hp,process: The action of muscles tightening to facilitate breathing is Muscle contraction,57.09359359741211,224.54138898849487,17.27241453757653,0.6974719325013824, Muscle,12,0.0071765482425689,11
19_69358,19,69358,19-clt-hp,entity: The system responsible for gas exchange in the body. is Respiratory system,0.0,0.0,0.0,0.0,entity,1,0.0071765482425689,11
19_69358,19,69358,19-clt-hp,attribute: A type of breathing that involves full expansion of the lungs is Deep breathing,59.78297805786133,281.1723952293396,17.573274701833725,0.7060488575054705, involves,8,0.0071765482425689,11
21_30617,21,30617,21-clt-hp,entity: The muscle involved in deep inhalation is Diaphragm,47.521053314208984,90.0559196472168,7.504659970601399,0.8420771542882136, is,9,0.0064720511436462,11
21_30617,21,30617,21-clt-hp,process: The act of breathing in air. is Inhalation,0.0,0.0,0.0,0.0,process,1,0.0064720511436462,11
21_30617,21,30617,21-clt-hp,process: The action of muscles tightening to facilitate breathing is Muscle contraction,12.81995964050293,13.356481075286865,1.0274216211759126,0.9198576555631335, Muscle,12,0.0064720511436462,11
21_30617,21,30617,21-clt-hp,entity: The system responsible for gas exchange in the body. is Respiratory system,0.0,0.0,0.0,0.0,entity,1,0.0064720511436462,11
21_30617,21,30617,21-clt-hp,attribute: A type of breathing that involves full expansion of the lungs is Deep breathing,18.48392677307129,18.48392677307129,1.1552454233169556,0.9375, the,12,0.0064720511436462,11
18_52020,18,52020,18-clt-hp,entity: The muscle involved in deep inhalation is Diaphragm,26.787944793701172,38.89505863189697,3.2412548859914145,0.8790032266023801, is,9,0.0042297840118408,11
18_52020,18,52020,18-clt-hp,process: The act of breathing in air. is Inhalation,0.0,0.0,0.0,0.0,process,1,0.0042297840118408,11
18_52020,18,52020,18-clt-hp,process: The action of muscles tightening to facilitate breathing is Muscle contraction,4.05216121673584,4.05216121673584,0.31170470897968,0.923076923076923, Muscle,12,0.0042297840118408,11
18_52020,18,52020,18-clt-hp,entity: The system responsible for gas exchange in the body. is Respiratory system,3.880939483642578,3.880939483642578,0.2587292989095052,0.9333333333333333,.,12,0.0042297840118408,11
18_52020,18,52020,18-clt-hp,attribute: A type of breathing that involves full expansion of the lungs is Deep breathing,46.94761276245117,151.78221988677979,9.486388742923737,0.7979367174445348, the,12,0.0042297840118408,11
0_51434,0,51434,0-clt-hp,entity: The muscle involved in deep inhalation is Diaphragm,36.71287536621094,36.71287536621094,3.059406280517578,0.9166666666666666, The,3,0.0041821599006652,11
0_51434,0,51434,0-clt-hp,process: The act of breathing in air. is Inhalation,34.87036895751953,34.87036895751953,3.1700335415926846,0.9090909090909092, The,3,0.0041821599006652,11
0_51434,0,51434,0-clt-hp,process: The action of muscles tightening to facilitate breathing is Muscle contraction,34.87036895751953,34.87036895751953,2.6823360736553488,0.923076923076923, The,3,0.0041821599006652,11
0_51434,0,51434,0-clt-hp,entity: The system responsible for gas exchange in the body. is Respiratory system,69.58562469482422,106.29850769042969,7.086567179361979,0.8981604719302164, the,10,0.0041821599006652,11
0_51434,0,51434,0-clt-hp,attribute: A type of breathing that involves full expansion of the lungs is Deep breathing,76.42626953125,76.42626953125,4.776641845703125,0.9375, the,12,0.0041821599006652,11
20_31547,20,31547,20-clt-hp,entity: The muscle involved in deep inhalation is Diaphragm,24.750411987304688,45.366618156433105,3.7805515130360923,0.8472529865371428, Dia,10,0.004152625799179,11
20_31547,20,31547,20-clt-hp,process: The act of breathing in air. is Inhalation,0.0,0.0,0.0,0.0,process,1,0.004152625799179,11
20_31547,20,31547,20-clt-hp,process: The action of muscles tightening to facilitate breathing is Muscle contraction,0.0,0.0,0.0,0.0,process,1,0.004152625799179,11
20_31547,20,31547,20-clt-hp,entity: The system responsible for gas exchange in the body. is Respiratory system,0.0,0.0,0.0,0.0,entity,1,0.004152625799179,11
20_31547,20,31547,20-clt-hp,attribute: A type of breathing that involves full expansion of the lungs is Deep breathing,12.268131256103516,14.31687593460083,0.8948047459125519,0.9270626693476745, the,12,0.004152625799179,11
1_52044,1,52044,1-clt-hp,entity: The muscle involved in deep inhalation is Diaphragm,121.36961364746094,1009.0122222900391,84.08435185750325,0.30720425540991825, deep,7,0.0040265023708343,11
1_52044,1,52044,1-clt-hp,process: The act of breathing in air. is Inhalation,106.33748626708984,810.5877990722656,73.68979991566052,0.307019542190677, air,8,0.0040265023708343,11
1_52044,1,52044,1-clt-hp,process: The action of muscles tightening to facilitate breathing is Muscle contraction,119.24375915527344,1172.8297080993652,90.21766985379733,0.2434181000925989, breathing,10,0.0040265023708343,11
1_52044,1,52044,1-clt-hp,entity: The system responsible for gas exchange in the body. is Respiratory system,129.3305206298828,1342.0131874084473,89.46754582722981,0.30822558053974425, system,15,0.0040265023708343,11
1_52044,1,52044,1-clt-hp,attribute: A type of breathing that involves full expansion of the lungs is Deep breathing,124.60405731201172,1496.5429458618164,93.53393411636353,0.24935081461952574, breathing,16,0.0040265023708343,11
25_288,25,288,25-clt-hp,entity: The muscle involved in deep inhalation is Diaphragm,363.8307800292969,728.8593902587891,60.73828252156576,0.8330589772622456,phrag,11,0.0037657618522644,11
25_288,25,288,25-clt-hp,process: The act of breathing in air. is Inhalation,65.05193328857422,206.8612060546875,18.805564186789773,0.7109145995190154,process,1,0.0037657618522644,11
25_288,25,288,25-clt-hp,process: The action of muscles tightening to facilitate breathing is Muscle contraction,149.16310119628906,687.0909805297852,52.853152348445015,0.6456687215232026, facilitate,9,0.0037657618522644,11
25_288,25,288,25-clt-hp,entity: The system responsible for gas exchange in the body. is Respiratory system,101.21221923828125,238.43913650512695,15.89594243367513,0.8429444334556904, the,10,0.0037657618522644,11
25_288,25,288,25-clt-hp,attribute: A type of breathing that involves full expansion of the lungs is Deep breathing,281.7986755371094,919.1127977371216,57.4445498585701,0.7961503908807216,attribute,1,0.0037657618522644,11
19_23189,19,23189,19-clt-hp,entity: The muscle involved in deep inhalation is Diaphragm,37.109764099121094,93.27396392822266,7.772830327351888,0.790544873672857, is,9,0.0031434893608093,11
19_23189,19,23189,19-clt-hp,process: The act of breathing in air. is Inhalation,0.0,0.0,0.0,0.0,process,1,0.0031434893608093,11
19_23189,19,23189,19-clt-hp,process: The action of muscles tightening to facilitate breathing is Muscle contraction,0.0,0.0,0.0,0.0,process,1,0.0031434893608093,11
19_23189,19,23189,19-clt-hp,entity: The system responsible for gas exchange in the body. is Respiratory system,0.0,0.0,0.0,0.0,entity,1,0.0031434893608093,11
19_23189,19,23189,19-clt-hp,attribute: A type of breathing that involves full expansion of the lungs is Deep breathing,5.1757917404174805,9.001020431518555,0.5625637769699097,0.8913086528237063, the,12,0.0031434893608093,11
